;movie_code;duration;facenumber_in_poster;country;budget;gross;num_voted_users;num_user_for_reviews;num_critic_for_reviews;movie_facebook_likes;director_facebook_likes;actor_1_facebook_likes;actor_2_facebook_likes;actor_3_facebook_likes;cast_total_facebook_likes;imdb_score;imdb_score_class
2271;2272;95.0;2.0;France;20000000.0;14291570.0;82082;236.0;289.0;10000;4.0;788.0;447.0;80.0;1414;6.1;Good
4044;4045;95.0;0.0;USA;3200000.0;;25542;252.0;130.0;0;38.0;164000.0;2000.0;898.0;170118;6.4;Good
1128;1129;114.0;2.0;China;45000000.0;6565495.0;36455;229.0;189.0;0;611.0;879.0;52.0;10.0;949;7.0;Good
3891;3892;112.0;1.0;USA;4000000.0;31252964.0;71495;522.0;153.0;0;395.0;13000.0;595.0;80.0;13707;7.1;Good
4482;4483;123.0;0.0;USA;1420000.0;;794;9.0;46.0;447;0.0;3000.0;372.0;161.0;4040;4.1;Fair
2477;2478;98.0;2.0;USA;23000000.0;58006147.0;67653;108.0;97.0;0;209.0;158.0;152.0;129.0;816;6.2;Good
4871;4872;101.0;0.0;UK;;;70076;120.0;77.0;14000;17.0;766.0;438.0;289.0;2123;6.9;Good
4853;4854;90.0;2.0;USA;290000.0;;30;;;16;2.0;466.0;216.0;99.0;842;4.3;Fair
371;372;106.0;0.0;USA;88000000.0;78747585.0;89770;342.0;253.0;39000;0.0;22000.0;11000.0;1000.0;35367;5.6;Fair
4325;4326;90.0;1.0;USA;2000000.0;;355;6.0;8.0;44;5.0;601.0;453.0;372.0;2395;4.6;Fair
3858;3859;112.0;0.0;South Korea;4200000000.0;211667.0;53508;131.0;202.0;4000;0.0;717.0;126.0;38.0;907;7.7;Good
2879;2880;96.0;2.0;USA;11000000.0;3074838.0;56264;166.0;226.0;0;460.0;14000.0;153.0;73.0;14372;6.3;Good
1168;1169;104.0;0.0;UK;42000000.0;20915465.0;38203;290.0;36.0;0;5.0;5000.0;922.0;687.0;7723;4.0;Bad
5028;5029;111.0;0.0;Japan;1000000.0;94596.0;6318;50.0;78.0;817;62.0;89.0;13.0;6.0;115;7.4;Good
3687;3688;96.0;4.0;USA;5250000.0;766487.0;15315;117.0;65.0;915;136.0;4000.0;543.0;139.0;4883;5.0;Fair
1479;1480;92.0;1.0;USA;35000000.0;17596256.0;12399;84.0;101.0;0;16.0;3000.0;1000.0;734.0;6327;3.8;Bad
1091;1092;89.0;0.0;USA;45000000.0;65557989.0;73539;271.0;119.0;0;49.0;2000.0;902.0;514.0;3717;4.6;Fair
1048;1049;123.0;1.0;USA;48000000.0;47095453.0;64595;316.0;125.0;0;446.0;20000.0;1000.0;821.0;22209;6.4;Good
499;500;97.0;0.0;Australia;80000000.0;18318000.0;24868;216.0;61.0;964;750.0;1000.0;971.0;231.0;2521;5.8;Fair
3814;3815;;15.0;USA;5000000.0;;38;2.0;2.0;35;3.0;975.0;900.0;723.0;4991;6.7;Good
85;86;136.0;1.0;USA;170000000.0;259746958.0;496749;742.0;576.0;55000;94.0;19000.0;11000.0;2000.0;36188;7.8;Good
808;809;127.0;2.0;USA;35000000.0;4426297.0;22570;156.0;54.0;0;258.0;11000.0;708.0;617.0;12947;6.5;Good
95;96;169.0;1.0;USA;165000000.0;187991439.0;928227;2725.0;712.0;349000;22000.0;11000.0;11000.0;6000.0;31488;8.6;Excellent
186;187;115.0;3.0;USA;120000000.0;292298923.0;185394;329.0;322.0;65000;386.0;21000.0;17000.0;12000.0;59177;5.5;Fair
1218;1219;123.0;0.0;USA;34000000.0;66808615.0;87351;344.0;125.0;2000;563.0;24000.0;11000.0;8000.0;43917;6.1;Good
2517;2518;134.0;6.0;UK;17000000.0;15681020.0;33570;259.0;94.0;1000;22.0;1000.0;593.0;488.0;3007;3.6;Bad
3656;3657;133.0;0.0;France;6700000.0;;10119;124.0;64.0;0;287.0;343.0;94.0;28.0;502;7.9;Good
4229;4230;117.0;0.0;USA;2200000.0;379643.0;1573;29.0;18.0;285;84.0;861.0;425.0;275.0;2161;5.9;Fair
3631;3632;110.0;2.0;UK;6000000.0;;11623;50.0;23.0;643;735.0;187.0;34.0;20.0;297;7.0;Good
1745;1746;94.0;0.0;USA;29000000.0;6301131.0;92850;263.0;161.0;0;11.0;1000.0;948.0;566.0;5085;7.1;Good
2957;2958;86.0;5.0;USA;;17321573.0;3119;18.0;33.0;151;17.0;873.0;691.0;581.0;3646;4.5;Fair
1372;1373;123.0;0.0;UK;38000000.0;26903709.0;312629;475.0;393.0;83000;2000.0;26000.0;10000.0;471.0;37206;8.1;Excellent
1795;1796;133.0;2.0;USA;30000000.0;148734225.0;298590;559.0;251.0;0;0.0;11000.0;985.0;529.0;12874;7.0;Good
2317;2318;119.0;0.0;USA;20000000.0;4234040.0;14301;45.0;99.0;0;18.0;20.0;18.0;9.0;64;7.0;Good
4349;4350;100.0;1.0;USA;30000000.0;35266619.0;108248;371.0;359.0;39000;108.0;17000.0;2000.0;534.0;20051;5.9;Fair
1902;1903;146.0;3.0;USA;25000000.0;46836394.0;728685;989.0;192.0;25000;17000.0;22000.0;854.0;635.0;24783;8.7;Excellent
2000;2001;91.0;0.0;USA;;12495865.0;7100;35.0;73.0;0;80.0;473.0;31.0;31.0;539;6.8;Good
221;222;92.0;3.0;USA;130000000.0;131920333.0;213275;436.0;262.0;0;167.0;11000.0;2000.0;702.0;15302;5.6;Fair
2377;2378;100.0;2.0;USA;19000000.0;12561.0;71276;181.0;134.0;13000;14.0;3000.0;547.0;356.0;4094;6.4;Good
1247;1248;155.0;2.0;USA;36000000.0;44175394.0;56509;227.0;77.0;0;14000.0;12000.0;11000.0;11000.0;37570;7.2;Good
4738;4739;111.0;0.0;USA;500000.0;985341.0;3479;87.0;54.0;180;35.0;980.0;505.0;482.0;3166;7.3;Good
4062;4063;98.0;0.0;USA;3000000.0;24629916.0;12942;34.0;35.0;902;188.0;2000.0;970.0;693.0;4277;5.1;Fair
2396;2397;122.0;0.0;USA;20000000.0;75072454.0;96569;522.0;233.0;0;301.0;1000.0;539.0;457.0;2759;6.7;Good
409;410;120.0;2.0;USA;85000000.0;112703470.0;69860;214.0;187.0;0;278.0;11000.0;2000.0;963.0;15226;6.6;Good
3027;3028;112.0;1.0;USA;11000000.0;90556401.0;43795;171.0;128.0;0;197.0;755.0;734.0;632.0;3507;4.5;Fair
4317;4318;119.0;2.0;South Africa;2000000.0;4958.0;9689;23.0;30.0;1000;5.0;29.0;18.0;12.0;86;7.8;Good
1869;1870;129.0;1.0;USA;25100000.0;25517500.0;40941;320.0;242.0;0;0.0;2000.0;826.0;655.0;4264;6.4;Good
4563;4564;86.0;2.0;UK;1000000.0;1277257.0;2629;32.0;18.0;227;132.0;778.0;695.0;584.0;2400;6.8;Good
2323;2324;114.0;5.0;France;20000000.0;2353728.0;4293;53.0;69.0;235;22.0;572.0;548.0;413.0;1776;6.9;Good
3602;3603;104.0;4.0;USA;6000000.0;12793213.0;18286;73.0;34.0;0;80.0;8000.0;960.0;658.0;10430;6.2;Good
2737;2738;98.0;1.0;UK;15000000.0;353743.0;20730;111.0;109.0;664;34.0;936.0;826.0;730.0;3578;6.9;Good
2175;2176;121.0;8.0;USA;20000000.0;60072596.0;7664;68.0;40.0;0;0.0;2000.0;907.0;721.0;6657;4.4;Fair
1990;1991;95.0;3.0;USA;25000000.0;5654777.0;4875;26.0;31.0;206;32.0;843.0;593.0;324.0;2165;4.1;Fair
1241;1242;104.0;0.0;USA;43000000.0;47806295.0;87447;371.0;193.0;0;34.0;545.0;351.0;280.0;1274;6.5;Good
846;847;100.0;0.0;USA;50000000.0;100328194.0;85903;92.0;26.0;0;52.0;795.0;419.0;394.0;2638;6.0;Fair
4978;4979;82.0;3.0;USA;70000.0;30084.0;5507;23.0;65.0;812;217.0;10000.0;969.0;442.0;11642;5.6;Fair
2909;2910;90.0;7.0;USA;15000000.0;4360548.0;13371;60.0;116.0;0;34.0;966.0;681.0;506.0;2661;6.4;Good
4432;4433;124.0;0.0;USA;1700000.0;183490.0;463;8.0;35.0;594;407.0;38.0;8.0;7.0;60;5.8;Fair
2961;2962;94.0;1.0;USA;12000000.0;16300302.0;64682;203.0;325.0;0;655.0;9000.0;786.0;390.0;10575;6.3;Good
4216;4217;101.0;0.0;UK;2500000.0;;2753;82.0;20.0;0;15.0;844.0;722.0;663.0;3132;3.1;Bad
3874;3875;124.0;1.0;Sweden;;188870.0;13443;25.0;90.0;0;79.0;309.0;254.0;93.0;857;6.7;Good
2955;2956;104.0;3.0;USA;12000000.0;18595716.0;30462;150.0;66.0;0;20.0;836.0;826.0;717.0;3963;5.3;Fair
34;35;104.0;0.0;USA;200000000.0;268488329.0;235025;265.0;376.0;44000;37.0;12000.0;779.0;760.0;14863;7.3;Good
2405;2406;107.0;1.0;USA;15000000.0;59735548.0;290949;629.0;217.0;13000;323.0;1000.0;1000.0;794.0;4223;7.8;Good
2843;2844;100.0;4.0;USA;12500000.0;48637684.0;16979;42.0;90.0;0;38.0;833.0;807.0;460.0;2800;6.1;Good
172;173;138.0;1.0;USA;150000000.0;93926386.0;168207;684.0;244.0;0;608.0;613.0;172.0;168.0;1205;7.4;Good
988;989;93.0;1.0;USA;50000000.0;39177541.0;20310;177.0;66.0;0;0.0;12000.0;722.0;717.0;14899;3.5;Bad
4920;4921;89.0;0.0;Iran;180000.0;925402.0;27882;130.0;46.0;0;373.0;36.0;35.0;27.0;100;8.5;Excellent
4023;4024;80.0;0.0;France;8000000.0;77413017.0;45984;331.0;169.0;0;10.0;11000.0;108.0;34.0;11218;7.6;Good
1149;1150;90.0;3.0;USA;43000000.0;24430272.0;46158;403.0;99.0;0;16.0;44.0;28.0;16.0;132;5.1;Fair
3803;3804;87.0;1.0;USA;5000000.0;;10734;80.0;19.0;887;65.0;866.0;738.0;686.0;3724;6.1;Good
1614;1615;119.0;0.0;USA;30000000.0;66468315.0;428916;667.0;589.0;75000;0.0;23000.0;13000.0;502.0;37387;7.4;Good
779;780;111.0;0.0;USA;;35754555.0;47954;150.0;239.0;11000;39.0;16000.0;897.0;461.0;17871;6.8;Good
2769;2770;101.0;0.0;USA;15000000.0;51527787.0;45603;268.0;264.0;0;71.0;10000.0;960.0;725.0;14159;5.5;Fair
1238;1239;116.0;3.0;USA;40000000.0;49851591.0;7900;34.0;16.0;263;425.0;954.0;568.0;204.0;2179;5.9;Fair
3440;3441;106.0;3.0;USA;;10281585.0;21225;268.0;124.0;1000;14.0;827.0;545.0;161.0;1871;6.4;Good
2382;2383;116.0;2.0;France;19000000.0;1292527.0;3536;44.0;31.0;228;500.0;12000.0;1000.0;530.0;14579;6.3;Good
1120;1121;134.0;3.0;USA;45000000.0;19377727.0;35140;409.0;168.0;0;38.0;11000.0;8000.0;2000.0;24351;6.4;Good
1019;1020;99.0;1.0;USA;50000000.0;16671505.0;33186;78.0;22.0;0;32.0;1000.0;619.0;479.0;2949;5.9;Fair
2549;2550;80.0;2.0;USA;16000000.0;40363530.0;18254;307.0;56.0;1000;11.0;911.0;521.0;499.0;3058;3.3;Bad
376;377;128.0;1.0;UK;80000000.0;72515360.0;86152;411.0;227.0;0;521.0;591.0;249.0;249.0;2100;6.4;Good
123;124;129.0;0.0;Australia;150000000.0;139259759.0;364948;2121.0;245.0;0;0.0;309.0;269.0;233.0;1062;6.7;Good
209;210;134.0;4.0;Canada;110000000.0;214948780.0;405973;1055.0;289.0;0;0.0;20000.0;505.0;346.0;20952;7.5;Good
2810;2811;150.0;0.0;UK;8200000.0;3958500.0;17933;165.0;262.0;0;608.0;149.0;44.0;43.0;390;6.8;Good
4485;4486;100.0;0.0;USA;1200000.0;18488314.0;76151;333.0;100.0;0;422.0;816.0;577.0;422.0;2893;7.1;Good
3795;3796;95.0;0.0;Canada;5000000.0;;4041;66.0;35.0;174;3.0;889.0;680.0;383.0;2984;4.6;Fair
292;293;98.0;10.0;USA;100000000.0;148383780.0;85531;152.0;180.0;0;80.0;22000.0;713.0;708.0;24082;5.5;Fair
4975;4976;80.0;0.0;USA;75000.0;;48;18.0;18.0;34;7.0;118.0;15.0;3.0;138;4.5;Fair
2380;2381;121.0;2.0;USA;;5308553.0;5147;37.0;102.0;0;33.0;1000.0;919.0;505.0;3260;6.4;Good
3224;3225;86.0;2.0;UK;10000000.0;226792.0;3080;44.0;43.0;117;302.0;893.0;798.0;428.0;3049;6.2;Good
4839;4840;109.0;0.0;USA;200000.0;5199.0;720;23.0;13.0;30;3.0;54.0;53.0;25.0;185;6.6;Good
4326;4327;30.0;5.0;USA;;;7646;56.0;19.0;1000;;685.0;511.0;424.0;1884;7.3;Good
2107;2108;98.0;0.0;Canada;22000000.0;14252830.0;18900;242.0;93.0;0;4.0;3000.0;486.0;83.0;3769;5.3;Fair
334;335;88.0;0.0;USA;95000000.0;161317423.0;145321;139.0;233.0;14000;20.0;22000.0;1000.0;916.0;25354;6.6;Good
3410;3411;99.0;3.0;USA;8000000.0;398420.0;5049;48.0;41.0;226;30.0;480.0;257.0;209.0;1234;6.4;Good
55;56;93.0;0.0;USA;185000000.0;237282182.0;273556;428.0;488.0;39000;56.0;2000.0;1000.0;838.0;5005;7.2;Good
4678;4679;95.0;0.0;UK;500000.0;26297.0;25750;209.0;255.0;0;214.0;513.0;257.0;246.0;1269;6.3;Good
3634;3635;90.0;2.0;USA;6000000.0;399611.0;1245;29.0;16.0;0;11.0;767.0;529.0;316.0;2370;5.7;Fair
1291;1292;102.0;1.0;USA;40000000.0;14967182.0;27305;284.0;102.0;604;19.0;13000.0;530.0;351.0;14463;5.1;Fair
1063;1064;105.0;1.0;USA;46000000.0;126805112.0;98199;169.0;84.0;0;29.0;8000.0;1000.0;692.0;12344;6.3;Good
4501;4502;97.0;0.0;Canada;1200000.0;24784.0;591;10.0;23.0;5000;4.0;;;;0;7.4;Good
3066;3067;105.0;0.0;USA;;540085.0;10052;69.0;87.0;0;0.0;14000.0;12000.0;776.0;28004;6.3;Good
3945;3946;93.0;1.0;UK;2500000.0;64359.0;811;26.0;31.0;108;12.0;578.0;29.0;15.0;643;5.9;Fair
1319;1320;107.0;1.0;USA;20000000.0;7564000.0;54650;223.0;79.0;12000;34.0;11000.0;922.0;472.0;13821;6.2;Good
3686;3687;96.0;5.0;USA;9000000.0;27445.0;3788;31.0;48.0;1000;3.0;472.0;39.0;38.0;561;5.3;Fair
1711;1712;109.0;2.0;USA;30000000.0;10965209.0;25558;221.0;123.0;0;29.0;779.0;240.0;91.0;1297;6.1;Good
1800;1801;122.0;2.0;USA;27500000.0;9664316.0;47203;197.0;131.0;0;151.0;24000.0;15000.0;11000.0;50950;6.8;Good
2465;2466;334.0;0.0;France;;145118.0;10111;36.0;108.0;0;;897.0;30.0;30.0;1032;7.7;Good
2860;2861;91.0;0.0;USA;13000000.0;38916903.0;15664;149.0;112.0;0;13.0;803.0;587.0;140.0;1921;5.8;Fair
2782;2783;109.0;0.0;USA;14000000.0;27515786.0;8904;31.0;12.0;0;309.0;592.0;556.0;279.0;1620;5.9;Fair
3999;4000;129.0;0.0;Argentina;2000000.0;20167424.0;131831;231.0;262.0;33000;195.0;827.0;88.0;50.0;1044;8.2;Excellent
3292;3293;116.0;2.0;USA;;90400000.0;102895;159.0;71.0;0;644.0;392.0;249.0;199.0;845;7.5;Good
4625;4626;94.0;0.0;USA;1000000.0;;425;24.0;6.0;91;6.0;92.0;17.0;0.0;109;3.9;Bad
2818;2819;134.0;0.0;USA;14000000.0;83025853.0;259837;2254.0;357.0;13000;0.0;15000.0;13000.0;11000.0;39789;7.7;Good
2104;2105;136.0;1.0;USA;126000000.0;35799026.0;263336;899.0;257.0;0;0.0;19000.0;12000.0;3000.0;34838;6.9;Good
4122;4123;97.0;1.0;USA;3000000.0;39852.0;1238;25.0;20.0;117;700.0;599.0;325.0;56.0;1030;6.7;Good
4759;4760;95.0;0.0;UK;500000.0;;1006;11.0;48.0;808;3.0;30.0;27.0;25.0;119;7.3;Good
4793;4794;91.0;0.0;USA;;1293295.0;10366;88.0;86.0;0;147.0;22.0;20.0;5.0;54;7.7;Good
3092;3093;98.0;1.0;USA;10000000.0;68353550.0;70141;385.0;139.0;0;235.0;4000.0;464.0;229.0;5270;5.9;Fair
999;1000;131.0;0.0;UK;50000000.0;27667947.0;86374;392.0;209.0;3000;73.0;879.0;184.0;163.0;1344;6.2;Good
4415;4416;101.0;3.0;Israel;;2408553.0;4547;33.0;105.0;0;4.0;0.0;0.0;0.0;0;7.6;Good
3883;3884;112.0;0.0;UK;2300000.0;62549000.0;41361;148.0;63.0;0;277.0;1000.0;530.0;327.0;2412;7.3;Good
449;450;110.0;1.0;USA;80000000.0;130313314.0;168172;380.0;265.0;0;88.0;13000.0;12000.0;11000.0;44798;6.5;Good
66;67;96.0;1.0;USA;175000000.0;292979556.0;665575;704.0;408.0;27000;0.0;1000.0;848.0;262.0;2635;8.3;Excellent
2321;2322;124.0;0.0;USA;21000000.0;3081925.0;55842;274.0;245.0;13000;0.0;22000.0;1000.0;631.0;24732;7.5;Good
1710;1711;88.0;3.0;USA;30000000.0;19316646.0;52069;95.0;184.0;0;65.0;3000.0;697.0;681.0;5706;5.6;Fair
142;143;88.0;0.0;USA;150000000.0;21379315.0;17590;112.0;132.0;0;25.0;921.0;562.0;433.0;2652;5.4;Fair
2921;2922;102.0;0.0;USA;12000000.0;75074950.0;22147;156.0;91.0;770;167.0;656.0;528.0;436.0;2754;6.3;Good
2532;2533;110.0;3.0;USA;16000000.0;39825798.0;295375;645.0;236.0;15000;168.0;3000.0;979.0;96.0;4210;7.6;Good
538;539;124.0;0.0;USA;75000000.0;68473360.0;49536;379.0;134.0;0;258.0;867.0;826.0;748.0;3424;5.9;Fair
434;435;123.0;1.0;USA;82000000.0;34543701.0;100001;289.0;170.0;0;55.0;3000.0;975.0;956.0;5839;5.9;Fair
1315;1316;94.0;1.0;USA;40000000.0;511920.0;2458;26.0;41.0;211;0.0;795.0;754.0;379.0;2449;4.4;Fair
1187;1188;108.0;0.0;USA;40000000.0;118500000.0;340085;327.0;125.0;12000;0.0;1000.0;869.0;690.0;3660;7.8;Good
4983;4984;98.0;0.0;USA;25000.0;10246600.0;6375;36.0;36.0;265;0.0;138.0;111.0;73.0;388;6.6;Good
961;962;45.0;2.0;UK;;;1824;9.0;2.0;0;;416.0;171.0;132.0;1816;7.9;Good
3676;3677;97.0;0.0;France;5500000.0;3629758.0;44151;110.0;112.0;0;25.0;517.0;86.0;57.0;745;7.9;Good
3021;3022;130.0;1.0;China;12000000.0;;117;6.0;6.0;4;3.0;215.0;27.0;2.0;244;6.2;Good
716;717;130.0;2.0;UK;58000000.0;106635996.0;199025;416.0;137.0;0;258.0;394.0;387.0;345.0;1784;7.2;Good
3215;3216;89.0;0.0;UK;10000000.0;598645.0;13145;215.0;71.0;725;0.0;990.0;711.0;119.0;2006;3.6;Bad
3758;3759;112.0;2.0;Canada;6000000.0;3432342.0;24921;166.0;135.0;0;66.0;150.0;28.0;21.0;253;7.7;Good
4087;4088;117.0;0.0;Canada;;3222857.0;12560;147.0;91.0;0;375.0;1000.0;329.0;31.0;1394;7.8;Good
304;305;103.0;0.0;USA;100000000.0;67631157.0;176598;374.0;321.0;25000;207.0;40000.0;11000.0;3000.0;55175;6.0;Fair
2557;2558;121.0;1.0;UK;8000000.0;23618786.0;352695;687.0;285.0;17000;1000.0;175.0;115.0;108.0;485;7.9;Good
3250;3251;100.0;1.0;UK;10000000.0;;1250;16.0;31.0;695;98.0;1000.0;891.0;95.0;2227;5.4;Fair
5005;5006;89.0;0.0;USA;60000.0;;23;2.0;;48;2.0;5.0;0.0;0.0;5;5.4;Fair
909;910;124.0;1.0;USA;55000000.0;5755286.0;18310;63.0;106.0;672;161.0;21000.0;3000.0;681.0;26334;5.9;Fair
108;109;126.0;2.0;USA;155000000.0;89732035.0;188457;867.0;474.0;82000;230.0;24000.0;10000.0;2000.0;38873;6.6;Good
630;631;124.0;3.0;USA;68000000.0;300523113.0;184637;498.0;293.0;29000;171.0;21000.0;17000.0;10000.0;52547;4.9;Fair
1718;1719;88.0;1.0;UK;30000000.0;2975649.0;23864;142.0;124.0;0;108.0;876.0;142.0;135.0;1518;7.0;Good
1259;1260;94.0;3.0;Germany;60000000.0;36037909.0;10132;130.0;82.0;390;0.0;374.0;258.0;235.0;1238;4.7;Fair
4246;4247;115.0;0.0;UK;2000000.0;24800000.0;89403;358.0;167.0;0;92.0;559.0;201.0;177.0;1456;7.5;Good
3694;3695;128.0;0.0;India;;563699.0;3266;27.0;24.0;421;4.0;374.0;282.0;47.0;787;6.2;Good
1069;1070;86.0;1.0;USA;45000000.0;181395380.0;220392;243.0;73.0;0;293.0;509.0;418.0;255.0;2070;6.8;Good
265;266;105.0;3.0;USA;105000000.0;71017784.0;27257;59.0;125.0;0;67.0;681.0;71.0;40.0;914;5.4;Fair
1982;1983;100.0;0.0;USA;25000000.0;10114315.0;18693;187.0;70.0;0;57.0;181.0;151.0;92.0;582;6.4;Good
3493;3494;105.0;0.0;USA;7000000.0;12583510.0;60709;922.0;202.0;0;0.0;1000.0;340.0;303.0;2444;6.0;Fair
4120;4121;100.0;1.0;USA;3000000.0;73678.0;266;8.0;8.0;348;27.0;1000.0;902.0;847.0;4374;5.9;Fair
3431;3432;90.0;2.0;Australia;10000000.0;882290.0;4792;43.0;21.0;999;73.0;848.0;643.0;26.0;1526;6.5;Good
