month;ISI;temp;RH;wind;rain;area
jan;2,9;5,3;78;3,1;0;0
mar;2,8;12,7;52;6,3;0;0
mar;7,5;18,2;29;3,1;0;0
aug;6,3;21,4;33;3,1;0;0
sep;7,1;20,3;45;3,1;0;0
sep;7,1;17,4;56;5,4;0;0
mar;2,8;13,7;43;5,8;0;0
mar;9;18,8;18;4,5;0;0
sep;4,8;22,8;39;3,6;0;0
sep;9,2;18,9;35;2,7;0;0
mar;3,8;15,8;27;7,6;0;0
mar;3,8;15,5;27;6,3;0;0
mar;7,8;11,6;30;6,3;0;0
mar;7,8;15,2;27;4,9;0;0
mar;6,2;10,6;30;4;0;0
aug;7,7;19,6;36;3,1;0;0
aug;10,7;10,3;74;2,2;0;0
aug;10,7;17,1;43;5,4;0;0
sep;8,5;22,5;42;5,4;0;0
sep;3,2;17,9;45;3,1;0;0
sep;15,9;19,8;50;5,4;0;0
oct;8,8;20,6;24;5,4;0;0
mar;5;9;49;2,2;0;0
sep;8,1;17,2;43;3,1;0;0
oct;5,2;15,9;46;3,6;0;0
oct;8,8;15,4;35;0,9;0;0
feb;0,8;15,4;40;2,7;0;0
mar;4,1;14;39;3,1;0;0
mar;9,6;10,6;46;4,9;0;0
sep;17,9;17,6;42;3,1;0;0
mar;3,8;14,9;38;2,7;0;0
aug;20,3;17,6;52;5,8;0;0
sep;8,5;17,2;58;1,3;0;0
sep;7;15,6;66;3,1;0;0
jul;3,9;18;42;2,7;0;0,36
sep;7;21,7;38;2,2;0;0,43
sep;7;21,9;39;1,8;0;0,47
aug;13,2;23,3;31;4,5;0;0,55
aug;12,5;21,2;51;8,9;0;0,61
jul;8,7;16,6;53;5,4;0;0,71
aug;13,2;23,8;32;5,4;0;0,77
aug;10,4;27,4;22;4;0;0,9
mar;6,2;13,2;40;5,4;0;0,95
sep;3,2;24,2;28;3,6;0;0,96
aug;17;17,4;43;6,7;0;1,07
sep;17,9;23,7;25;4,5;0;1,12
jun;7,1;23,2;39;5,4;0;1,19
jul;7,2;24,8;29;2,2;0;1,36
jul;6,2;24,6;43;1,8;0;1,43
sep;15,9;20,1;47;4,9;0;1,46
sep;8,1;29,6;27;2,7;0;1,46
aug;17;16,4;47;1,3;0;1,56
sep;8,1;28,6;27;2,2;0;1,61
aug;9,6;18,4;45;3,6;0;1,63
aug;9,6;20,5;35;4;0;1,64
sep;12,2;19;34;5,8;0;1,69
mar;6,2;16,1;29;3,1;0;1,75
aug;10,4;20,3;41;4;0;1,9
mar;7,8;15,2;31;8,5;0;1,94
sep;8,6;17,8;56;1,8;0;1,95
sep;4,8;17,8;67;2,2;0;2,01
mar;3;5,3;70;4,5;0;2,14
aug;9,6;16,6;47;0,9;0;2,29
aug;16,5;23,4;33;4,5;0;2,51
mar;12,5;14,6;26;9,4;0;2,53
aug;10,4;20,7;45;2,2;0;2,55
sep;9,2;21,9;35;1,8;0;2,57
aug;6,6;17,4;50;4;0;2,69
aug;10,6;20,1;39;5,4;0;2,74
sep;7;17,7;39;2,2;0;3,07
aug;8,9;14,2;53;1,8;0;3,5
aug;8,9;20,3;39;4,9;0;4,53
apr;2,7;5,8;54;5,8;0;4,61
aug;6,3;19,2;44;2,7;0;4,69
sep;6,2;18,3;45;2,2;0;4,88
aug;9;14,4;66;5,4;0;5,23
sep;8,5;23,9;32;6,7;0;5,33
oct;3;19,1;32;4;0;5,44
feb;3,9;12,4;53;2,2;0;6,38
oct;11,1;16,8;45;4,5;0;6,83
aug;15,1;20,8;34;4,9;0;6,96
sep;7;17,6;46;3,1;0;7,04
mar;9,6;11,5;39;5,8;0;7,19
sep;7;21;42;2,2;0;7,3
mar;7,9;13,3;42;0,9;0;7,4
mar;5,5;11,5;60;4;0;8,24
mar;12,5;11,7;33;4;0;8,31
aug;10,4;24,2;28;2,7;0;8,68
aug;17;24,6;22;4,5;0;8,71
sep;9,2;24,3;25;4;0;9,41
aug;17;24,6;22;4,5;0;10,01
aug;15,1;23,5;36;5,4;0;10,02
apr;2,7;5,8;54;5,8;0;10,93
sep;9,2;21,5;15;0,9;0;11,06
sep;7;13,9;59;6,3;0;11,24
sep;0,8;22,6;38;3,6;0;11,32
sep;7;21,6;33;2,2;0;11,53
mar;7,2;12,4;54;3,6;0;12,1
feb;2,1;8,8;68;2,2;0;13,05
oct;5,2;20,2;37;2,7;0;13,7
mar;7,8;15,1;64;4;0;13,99
sep;9,2;22,1;34;1,8;0;14,57
aug;20,3;22,9;31;7,2;0;15,45
sep;7;20,7;37;2,2;0;17,2
sep;12,2;19,6;33;6,3;0;19,23
sep;17,9;23,2;26;4,9;0;23,41
oct;6,7;18,4;25;3,1;0;24,23
aug;20,3;5,1;96;5,8;0;26
sep;15,9;20,1;47;4,9;0;26,13
mar;5;11;46;5,8;0;27,35
mar;7,8;17;27;4,9;0;28,66
mar;7,8;17;27;4,9;0;28,66
sep;8,5;16,9;60;1,3;0;29,48
sep;7,1;12,4;73;6,3;0;30,32
sep;9,2;19,4;19;1,3;0;31,72
mar;6,2;15,2;27;3,1;0;31,86
aug;6,3;16,2;59;3,1;0;32,07
sep;13,9;18,6;49;3,6;0;35,88
mar;5;11;46;5,8;0;36,85
jul;6,8;13,4;79;3,6;0;37,02
sep;6,2;15,4;57;4,5;0;37,71
sep;8,1;22,9;39;4,9;0;48,55
oct;11,1;16,1;44;4;0;49,37
aug;11,9;20,1;34;4,5;0;58,3
sep;8,1;28,3;26;3,1;0;64,1
aug;11,9;16,4;43;4;0;71,3
sep;9,2;26,4;21;4,5;0;88,49
sep;8,1;27,8;27;3,1;0;95,18
sep;7;18,7;43;2,7;0;103,39
sep;3,2;24,3;36;3,1;0;105,66
sep;8,6;17,7;25;3,1;0;154,88
aug;10,6;19,6;41;5,8;0;196,48
sep;8,6;18,2;46;1,8;0;200,94
sep;7;18,8;40;2,2;0;212,88
sep;8,6;25,1;27;4;0;1090,84
apr;3,5;13,4;75;1,8;0;0
apr;3,8;15,2;51;2,7;0;0
apr;2,3;16,7;20;3,1;0;0
aug;12,9;15,4;66;4;0;10,13
aug;13,8;21,9;73;7,6;1;0
aug;13,8;22,4;54;7,6;0;2,87
aug;13,8;26,8;38;6,3;0;0,76
aug;13,8;25,7;39;5,4;0;0,09
aug;9,6;20,7;70;2,2;0;0,75
aug;13,5;28,7;28;2,7;0;0
aug;13,5;21,7;40;0,4;0;2,47
aug;13,5;26,8;25;3,1;0;0,68
aug;13,5;24;36;3,1;0;0,24
aug;13,5;22,1;37;3,6;0;0,21
aug;8;21,4;38;2,7;0;1,52
aug;6,3;18,9;41;3,1;0;10,34
aug;5;22,3;46;4;0;0
aug;11;23,9;41;2,2;0;8,02
aug;11;21,4;44;2,7;0;0,68
aug;13,7;20,6;59;0,9;0;0
aug;13,7;23,7;40;1,8;0;1,38
aug;14,4;28,3;32;4;0;8,85
aug;8,9;11,2;84;7,6;0;3,3
aug;8,9;21,4;42;3,1;0;4,25
aug;7,1;19,3;39;3,6;0;1,56
aug;13;21,8;53;3,1;0;6,54
aug;14,6;22,1;54;7,6;0;0,79
aug;22,7;19,4;55;4;0;0,17
aug;14,3;23,7;24;3,1;0;0
aug;14,3;21;32;3,1;0;0
aug;14,3;19,1;53;2,7;0;4,4
aug;14,3;21,8;56;3,1;0;0,52
aug;14,3;20,1;58;4,5;0;9,27
aug;14,3;20,2;47;4;0;3,09
dec;6,8;4,8;57;8,5;0;8,98
dec;5,3;5,1;61;8;0;11,19
dec;2;5,1;61;4,9;0;5,38
dec;2,6;4,6;21;8,5;0;17,85
dec;2,6;4,6;21;8,5;0;10,73
dec;2,6;4,6;21;8,5;0;22,03
dec;2,6;4,6;21;8,5;0;9,77
dec;4,1;2,2;59;4,9;0;9,27
dec;2,6;5,1;24;8,5;0;24,77
feb;3,4;4,2;51;4;0;0
feb;3,2;8,8;35;3,1;0;1,1
feb;6,3;7,5;46;8;0;24,24
jul;12,3;23,4;40;6,3;0;0
jul;12,5;12,6;90;7,6;0,2;0
jul;9;22,1;49;2,7;0;0
jul;9;24,2;32;1,8;0;0
jul;9;24,3;30;1,8;0;0
jul;9;18,7;53;1,8;0;0
jul;9;25,3;39;0,9;0;8
jul;6,3;22,9;40;1,3;0;2,64
jul;11;26,9;28;5,4;0;86,45
jul;8,5;17,1;67;3,6;0;6,57
jun;11;22,2;48;1,3;0;0
jun;6,4;14,3;46;1,8;0;0,9
jun;6,4;15,4;45;2,2;0;0
jun;12,7;19,6;43;4,9;0;0
jun;0,4;10,6;90;2,7;0;0
jun;7,5;20,7;25;4,9;0;0
jun;7,5;19,1;39;5,4;0;3,52
jun;7,1;19,2;38;4,5;0;0
jun;7,1;19,2;38;4,5;0;0
may;3,5;11,3;94;4,9;0;0
sep;5,7;19;52;2,2;0;0
sep;5,7;17,1;53;5,4;0;0,41
sep;5,7;23,8;35;3,6;0;5,18
sep;9,9;16;45;1,8;0;0
sep;9,9;24,9;27;2,2;0;0
sep;9,9;25,3;27;2,7;0;0
sep;9,9;24,8;28;1,8;0;14,29
sep;0,4;12,2;78;6,3;0;0
sep;8,8;24,3;27;4,9;0;0
sep;8,8;19,7;41;1,8;0;1,58
sep;7,2;18,5;30;2,7;0;0
sep;8,6;18,6;24;5,8;0;0
sep;8,6;19,2;24;4,9;0;3,78
sep;7,5;21,6;27;2,2;0;0
sep;7,5;21,6;28;6,3;0;4,41
sep;7,5;18,9;34;7,2;0;34,36
sep;7,5;16,8;28;4;0;7,21
sep;7,5;16,8;28;4;0;1,01
sep;6,8;12,9;39;2,7;0;2,18
sep;5,4;13,7;56;1,8;0;4,42
sep;8,4;24,2;27;3,1;0;0
sep;8,4;24,1;27;3,1;0;0
sep;8,4;21,2;32;2,2;0;0
sep;8,4;19,7;35;1,8;0;0
sep;8,4;23,5;27;4;0;3,33
sep;8,4;24,2;27;3,1;0;6,58
sep;8,5;21,5;28;4,5;0;15,64
sep;8,5;17,1;41;2,2;0;11,22
sep;9,5;18,1;54;3,1;0;2,13
sep;6,2;18;51;5,4;0;0
sep;6,2;9,8;86;1,8;0;0
sep;6,2;19,3;44;2,2;0;0
sep;6,2;23;34;2,2;0;56,04
sep;6,2;22,7;35;2,2;0;7,48
sep;6,2;20,4;41;1,8;0;1,47
sep;6,2;19,3;44;2,2;0;3,93
sep;6,5;15,7;51;2,2;0;0
sep;7,5;20,6;37;1,8;0;0
sep;7,5;15,9;51;4,5;0;2,18
sep;7,5;12,2;66;4,9;0;6,1
sep;7,5;16,8;43;3,1;0;5,83
sep;7,5;21,3;35;2,2;0;28,19
sep;9,6;10,1;75;3,6;0;0
sep;9,6;17,4;57;4,5;0;0
sep;9,6;12,8;64;3,6;0;1,64
sep;9,6;10,1;75;3,6;0;3,71
sep;9,6;15,4;53;6,3;0;7,31
sep;9,6;20,6;43;3,6;0;2,03
sep;9,6;19,8;47;2,7;0;1,72
sep;9,6;18,7;50;2,2;0;5,97
sep;9,6;20,8;35;4,9;0;13,06
sep;9,6;20,8;35;4,9;0;1,26
sep;10,2;15,9;55;3,6;0;0
sep;10,2;19,7;39;2,7;0;0
sep;10,2;21,1;39;2,2;0;8,12
sep;10,2;18,4;42;2,2;0;1,09
sep;10,2;17,3;45;4;0;3,94
sep;11,6;15,2;64;3,1;0;0,52
sep;6,5;15,9;53;2,2;0;2,93
sep;6,5;21,1;35;2,7;0;5,65
sep;6,5;19,6;45;3,1;0;20,03
sep;12,5;15,9;38;5,4;0;1,75
sep;12,5;16,4;27;3,6;0;0
sep;8,4;16,8;47;4,9;0;12,64
sep;7,1;13,8;77;7,6;0;0
sep;7,1;13,8;77;7,6;0;11,06
jul;8;14,2;58;4;0;0
aug;8,1;10,4;75;0,9;0;0
aug;13,9;20,3;42;2,7;0;0
sep;7,4;10,3;78;4;0;18,3
sep;8,4;15,4;57;4,9;0;39,35
aug;8,2;21,1;54;2,2;0;0
aug;8,4;21,9;42;2,2;0;174,63
mar;8;8,7;51;5,8;0;0
jan;0;5,2;100;0,9;0;0
jul;11,9;19,3;39;7,2;0;7,73
aug;6,8;16,2;63;2,7;0;16,33
aug;18;28,2;29;1,8;0;5,86
aug;6,3;20,5;58;2,7;0;42,87
aug;7,7;21,3;44;4,5;0;12,18
aug;7,6;20,9;50;2,2;0;16
sep;11,4;20,6;55;5,4;0;24,59
mar;8;11,6;48;5,4;0;0
aug;12;23,3;34;3,1;0;28,74
aug;12;23,3;34;3,1;0;0
feb;4,1;7,5;71;6,3;0;9,96
sep;7,2;20,7;46;2,7;0;30,18
sep;7,1;21,9;43;4;0;70,76
mar;11,4;15,2;19;7,6;0;0
feb;2,2;5,3;68;1,8;0;0
feb;3,5;10,1;62;1,8;0;51,78
sep;11,4;20,4;55;4,9;0;3,64
aug;7,6;24,3;33;3,6;0;3,63
aug;8,4;25,9;32;3,1;0;0
jun;14;28;34;4,5;0;0
jun;14;28;34;4,5;0;8,16
sep;8,3;22,8;46;4;0;4,95
aug;12;25;36;4;0;0
aug;6,8;21,3;41;3,6;0;0
sep;3,7;21,8;34;2,2;0;6,04
aug;9,5;27,9;27;2,2;0;0
sep;4;17;67;4,9;0;3,95
feb;2,9;14,2;46;4;0;0
sep;7,4;19,9;44;3,1;0;7,8
jul;12,1;23,4;31;5,4;0;0
feb;2,7;14,7;42;2,7;0;0
feb;3,3;8,2;53;9,4;0;4,62
jul;9,8;22,8;27;4,5;0;1,63
aug;8,4;26,4;33;3,6;0;0
aug;10,1;24,1;50;4;0;0
aug;13,9;27,5;27;4,9;0;746,28
jul;8,9;26,3;39;3,1;0;7,02
mar;9,9;13,8;24;5,8;0;0
aug;8,1;24,9;42;5,4;0;2,44
aug;7,6;24,8;36;4;0;3,05
aug;7,8;26,2;36;4,5;0;185,76
aug;18;30,8;19;4,5;0;0
jul;5,2;29,3;27;3,6;0;6,3
sep;8,4;22,3;48;4;0;0,72
aug;8,4;26,9;31;3,6;0;4,96
aug;6,3;20,4;56;2,2;0;0
aug;6,3;20,4;56;2,2;0;0
aug;8,2;27,9;33;2,2;0;2,35
aug;13,9;26,2;34;5,8;0;0
aug;7,6;24,6;44;4;0;3,2
sep;6,8;19,4;45;3,6;0;0
aug;9,6;23,3;40;4;0;6,36
aug;13,9;23,9;38;6,7;0;0
aug;10,1;20,9;66;4,9;0;15,34
aug;5,5;22,2;45;3,6;0;0
jul;5,6;23,8;51;1,8;0;0
aug;8,2;26,8;35;1,3;0;0,54
aug;9,7;14,2;73;2,7;0;0
aug;8,4;23,6;53;4;0;6,43
sep;7,2;19,1;46;2,2;0;0,33
sep;7,4;16,2;58;3,6;0;0
aug;8,2;25,5;29;1,8;0;1,23
apr;3,7;10,9;64;3,1;0;3,35
jul;16,8;14,8;78;8;0;0
sep;7,4;16,2;58;3,6;0;9,96
aug;10,7;17,3;80;4,5;0;0
aug;8,1;19,1;70;2,2;0;0
mar;9,9;8,9;35;8;0;0
sep;10,1;10,5;77;4;0;0
aug;7,6;19,3;61;4,9;0;0
aug;18;23,4;49;5,4;0;6,43
aug;16,3;11,8;88;4,9;0;9,71
aug;7,5;17,7;65;4;0;0
aug;5,6;17,4;54;3,1;0;0
aug;6,3;16,8;56;3,1;0;0
jul;16,7;17,9;48;2,7;0;0
aug;6,3;16,6;59;2,7;0;0
aug;7,8;19,9;50;4;0;82,75
aug;8,4;18,9;64;4,9;0;3,32
aug;7,7;15,5;72;8;0;1,94
aug;8,4;18,9;64;4,9;0;0
aug;8,4;18,9;64;4,9;0;0
sep;7,1;14,5;76;7,6;0;3,71
feb;1,9;4,6;82;6,3;0;5,39
feb;1,9;5,1;77;5,4;0;2,14
feb;1,8;4,6;59;0,9;0;6,84
mar;7,1;10,2;45;5,8;0;3,18
mar;7,3;11,2;41;5,4;0;5,55
mar;8,5;13,3;27;3,6;0;6,61
apr;12,3;13,7;33;9,4;0;61,13
apr;12,3;17,6;27;5,8;0;0
may;5,7;18;40;4;0;38,48
jun;4,7;14,3;79;4;0;1,94
jun;9,4;24,5;50;3,1;0;70,32
jun;10,8;26,4;35;2,7;0;10,08
jun;18;22,7;40;9,4;0;3,19
jul;9,9;27,2;28;1,3;0;1,76
jul;14,7;26,1;45;4;0;7,36
jul;14,7;18,2;82;4,5;0;2,21
jul;6,4;22,6;57;4,9;0;278,53
jul;9,5;30,2;25;4,5;0;2,75
jul;9,5;30,2;22;4,9;0;0
aug;14,1;23,4;40;5,8;0;1,29
aug;14,1;31;27;5,4;0;0
aug;14,1;33,1;25;4;0;26,43
aug;21,3;30,6;28;3,6;0;2,07
aug;17,7;24,1;43;6,3;0;2
aug;17,7;26,4;34;3,6;0;16,4
aug;17,7;19,4;71;7,6;0;46,7
aug;17,7;20,6;58;1,3;0;0
aug;17,7;28,7;33;4;0;0
aug;13,8;32,4;21;4,5;0;0
aug;11,3;32,4;27;2,2;0;0
aug;11,3;27,5;29;4,5;0;43,32
aug;14;30,8;30;4,9;0;8,59
aug;16,8;23,9;42;2,2;0;0
aug;16,8;32,6;26;3,1;0;2,77
aug;14,3;32,3;27;2,2;0;14,68
aug;14,3;33,3;26;2,7;0;40,54
aug;14,3;27,3;63;4,9;6,4;10,82
aug;14,3;21,6;65;4,9;0,8;0
aug;14,3;21,6;65;4,9;0,8;0
aug;14,3;20,7;69;4,9;0,4;0
aug;20;29,2;30;4,9;0;1,95
aug;20;28,9;29;4,9;0;49,59
aug;10,1;26,7;35;1,8;0;5,8
aug;7,1;18,5;73;8,5;0;0
aug;7,1;25,9;41;3,6;0;0
aug;7,1;25,9;41;3,6;0;0
aug;7,1;21,1;71;7,6;1,4;2,17
aug;7,1;18,2;62;5,4;0;0,43
aug;1,9;27,8;35;2,7;0;0
aug;1,9;27,8;32;2,7;0;6,44
aug;1,9;21,9;71;5,8;0;54,29
aug;1,9;21,2;70;6,7;0;11,16
aug;11,3;25,6;42;4;0;0
nov;1,1;11,8;31;4,5;0;0
